DATA_OWNER,COUNTRY,LOCATION_NAME,REGION,AREA,AREA_NAME,ABC_SITE,TOP_TIER_SITE,SITE_PARENT_ID,SITE_PARENT_NAME,GEO_WATERBODY,SITE_ID,SITE_NAME,SHREVE_LINK_NO,DS_SHREVE_LINK_NO,ALTITUDE_M,CATCHMENT_AREA_US_KM2,DISTANCE_TO_SOURCE_KM,DISTANCE_TO_TIDAL_LIMIT_KM,SURVEY_ID,EVENT_DATE,EVENT_DATE_YEAR,SURVEY_RANKED_NGR,SURVEY_RANKED_EASTING,SURVEY_RANKED_NORTHING,SURVEY_LENGTH,SURVEY_WIDTH,SURVEY_AREA,FISHED_WIDTH,FISHED_AREA,SURVEY_METHOD,SURVEY_STRATEGY,NO_OF_RUNS,SURVEY_SPECIES_ID,SPECIES_ID,SPECIES_NAME,LATIN_NAME,AGE_BAND,RUN_1,RUN_2,RUN_3,RUN_4,RUN_5,RUN_6,ALL_RUNS,SPCSNO,SPCSNO_SE,SPCSPV,SPCSPV_SE,SURVEY_STATUS,IS_THIRD_PARTY,IS_SPECIES_SELECTIVE,SURVEY_INSERT_DATE
Environment Agency,England,North East North East,Yorkshire and North East,North East,Northumbria,RIVER TYNE/NORTH TYNE/NORTH TYNE AT RIDLEY STOKOE/,River Tyne,10692,North Tyne,GB103023075070,3598,North Tyne at Ridley Stokoe,4,402,128.00,1.98,2.011,101.243,142969,23-09-2014,2014,NY7455785819,374557,585819,135.00,33.00,4455,33.00,4455,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,607595,111,Brown / sea trout,Salmo trutta,>1+,8,,,,,,8,,,,,Completed,No,No,24-09-2014 14:04:34
Environment Agency,England,South West Wessex (South - Blandford),South West,Wessex,Wessex,PIDDLE/ATHELHAMPTON/,Piddle,13627,Piddle,GB108044010080,30067,Athelhampton,6,7,48.00,97.98,14.309,34.369,146687,17-09-2015,2015,SY7718394265,377183,94265,100.50,5.50,553,5.50,553,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2,635607,111,Brown / sea trout,Salmo trutta,0+,0,0,,,,,0,0,0,0,0,Completed,No,No,25-09-2015 15:17:16
Environment Agency,England,South West Wessex (North - Bridgwater),South West,Wessex,Wessex,SOMERSET AREA/RIVER BRUE CATCHMENT/DIVISION RHYNE/RIVER HARTLAKE/WHITELAKE/PILTON STREAM/PILTON STW/,Somerset Area,12816,Pilton Stream,GB108052021170,12818,Pilton STW,,,,,,,145724,31-07-2015,2015,ST5847040521,358470,140521,106.00,2.60,276,2.60,276,PDC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,630954,111,Brown / sea trout,Salmo trutta,Age?,18,,,,,,18,,,,,Completed,No,No,31-07-2015 16:33:40
Environment Agency,England,South West Devon and Cornwall (Devon),South West,Devon and Cornwall,Devon and Cornwall,TEIGN/MAIN RIVERTEIGN/SOUTH TEIGN/LEIGH BRIDGE (TE)/,Teign,9160,South Teign,GB108046008510,9244,Leigh Bridge (Te),9,30,182.00,16.97,8.084,48.152,145989,20-08-2015,2015,SX6830087630,268300,87630,50.00,6.44,322,6.44,322,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,632504,118,Atlantic salmon,Salmo salar,0+,21,,,,,,21,,,,,Completed,No,No,20-08-2015 15:49:20
Environment Agency,England,South West Wessex (South - Blandford),South West,Wessex,Wessex,FROME/MAIN RIVER SITES/WRACKLEFORD/,Frome,16251,Main river sites,GB108044009690,22783,Wrackleford,31,32,63.00,148.77,21.761,49.222,146685,23-09-2015,2015,SY6683292943,366832,92943,100.00,6.09,609,6.09,609,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,635599,111,Brown / sea trout,Salmo trutta,0+,0,0,0,,,,0,0,0,0,0,Completed,No,No,25-09-2015 14:53:11
Environment Agency,England,South West Devon and Cornwall (Devon),South West,Devon and Cornwall,Devon and Cornwall,EXE/RIVER EXE/HADDEO/MAIN HADDEO/STEART U/S TRACK BRIDGE/,Exe,21380,Main Haddeo,GB108045015090,60163,Steart U/S Track Bridge,,,185.00,,8.693,71.349,146094,24-08-2015,2015,SS9599029500,295990,129500,55.00,4.80,264,4.80,264,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,632786,111,Brown / sea trout,Salmo trutta,0+,112,,,,,,112,,,,,Completed,No,No,26-08-2015 09:47:35
Environment Agency,England,South West Devon and Cornwall (Cornwall),South West,Devon and Cornwall,Devon and Cornwall,LOOE/WEST LOOE/MAIN WEST LOOE/GILLHILL WOOD/,Looe,7335,Main West Looe,GB108048002000,7344,Gillhill Wood,3,38,33.00,1.17,9.188,6.803,81724,09-08-2004,2004,SX2226057170,222260,57170,68.70,5.20,357,5.20,357,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,275042,111,Brown / sea trout,Salmo trutta,Age?,11,3,1,,,,15,15,1,1,0,Completed,No,No,27-08-2004 09:07:26
Environment Agency,England,North East Yorkshire,Yorkshire and North East,Yorkshire,Yorkshire,RIVER CALDER CATCHMENT/RIVER CALDER TRIBS/RIVER COLNE/POLLARD STREET/,River Calder catchment,11850,River Colne,GB104027063330,11853,Pollard Street,97,174,90.00,68.22,17.087,146.075,78694,23-09-2003,2003,SE1190015800,411900,415800,50.00,6.20,310,6.20,310,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,259488,154,Grayling,Thymallus thymallus,Age?,15,,,,,,15,,,,,Completed,No,No,28-11-2003 10:54:02
Environment Agency,England,Midlands Central,Midlands,Central,Staffordshire Warwickshire and West Midlands,RIVER TRENT/RIVER DOVE/D/S DOVEDALE/,RIVER TRENT,70,RIVER DOVE,GB104028057780,40049,D/S Dovedale,,,133.00,,29.953,254.124,152132,17-10-2017,2017,SK1459650592,414596,350592,120.00,9.00,1080,9.00,1080,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,672413,154,Grayling,Thymallus thymallus,1+,0,0,0,,,,0,0,0,0,0,Completed,No,No,27-10-2017 09:34:07
Environment Agency,England,Midlands Central,Midlands,Central,Staffordshire Warwickshire and West Midlands,RIVER TRENT/RIVER DOVE/D/S DOVEDALE/,RIVER TRENT,70,RIVER DOVE,GB104028057780,40049,D/S Dovedale,,,133.00,,29.953,254.124,152132,17-10-2017,2017,SK1459650592,414596,350592,120.00,9.00,1080,9.00,1080,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,672413,154,Grayling,Thymallus thymallus,Age?,3,4,0,,,,7,7,1,1,0,Completed,No,No,27-10-2017 09:34:07
Environment Agency,England,North West North (North),North West,North,Cumbria and Lancashire,RIVER CRAKE/YEWDALE BECK/420.00 FOOTBALL GROUND/,River Crake,5396,Yewdale Beck,GB112073071210,11516,420.00 Football Ground,28,42,55.00,12.10,7.175,23.172,6282,04-09-1991,1991,SD3049797797,330497,497797,40.00,5.52,221,5.52,221,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,258074,118,Atlantic salmon,Salmo salar,1+,6,,,,,,6,,,,,Completed,No,No,25-11-2003 18:31:58
Environment Agency,England,Midlands West,Midlands,West,Shropshire Herefordshire Worcestershire and Gloucestershire,RIVER SEVERN/SEVERN - CONFL VYRNWY TO BEWDLEY/SEVERN - CONFL VYRNWY TO BEWDLEY (TRIBUTARIES)/HARLEY BROOK (SHEINTON BK)/HUGHLEY/,River Severn,1224,Harley Brook (Sheinton Bk),GB109054049360,1223,Hughley,,,,,,,74062,11-06-1991,1991,SO5630098100,356300,298100,100.00,4.00,400,4.00,400,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2,234307,111,Brown / sea trout,Salmo trutta,1+,0,0,,,,,0,0,0,0,0,Completed,No,No,06-02-2003 11:58:15
Environment Agency,England,North West North (Central),North West,North,Cumbria and Lancashire,RIVER RIBBLE/RIVER DOUGLAS/RIVER YARROW/PTC BLACK BROOK (HOGGS LANE)/,River Ribble,4010,River Yarrow,GB112070064951,11078,ptc Black Brook (Hoggs Lane),6,7,76.00,9.45,5.471,34.956,78021,02-09-2003,2003,SD5924516219,359245,416219,75.00,4.70,353,4.70,353,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2,254226,111,Brown / sea trout,Salmo trutta,1+,0,0,,,,,0,0,0,0,0,Completed,No,No,28-10-2003 11:39:30
Environment Agency,England,South West Devon and Cornwall (Cornwall),South West,Devon and Cornwall,Devon and Cornwall,TAMAR/LYD/LEW/MAIN LEW/LEW MILL/,Tamar,10468,Main Lew,GB108047007770,8247,Lew Mill,27,29,104.00,35.17,10.971,71.193,77342,12-08-2003,2003,SX4700086220,247000,86220,65.90,6.27,413,6.27,413,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,251273,118,Atlantic salmon,Salmo salar,Age?,0,0,0,,,,0,0,0,0,0,Completed,No,No,07-10-2003 16:10:15
Environment Agency,England,North East Yorkshire,Yorkshire and North East,Yorkshire,Yorkshire,RIVER CALDER CATCHMENT/RIVER CALDER TRIBS/RIVER RYBURN/BAR LANE (U/S BOOTH DEAN CLOUGH) (WR)/,River Calder catchment,11855,River Ryburn,GB104027062540,11990,Bar Lane (u/s Booth Dean Clough) (WR),16,48,158.00,13.66,7.856,160.179,78876,01-09-2003,2003,SE0320018700,403200,418700,50.00,5.15,258,5.15,258,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,260223,114,Rainbow trout,Oncorhynchus mykiss,0+,0,0,0,,,,0,0,0,0,0,Completed,No,No,12-12-2003 13:41:01
Environment Agency,England,South West Wessex (North - Bridgwater),South West,Wessex,Wessex,SOMERSET AREA/RIVER PARRETT CATCHMENT/RIVER TONE/BACK STREAM/THE LAWNS/,Somerset Area,12380,Back Stream,GB108052021390,12388,The Lawns,,,,,,,79536,31-07-1997,1997,ST1670029600,316700,129600,68.00,2.20,150,2.20,150,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,263328,111,Brown / sea trout,Salmo trutta,Age?,23,5,0,,,,28,28,0,1,0,Completed,No,No,05-04-2004 14:53:52
Environment Agency,England,North West North (North),North West,North,Cumbria and Lancashire,SOUTH LAKES MINOR CATCHMENTS/RUSLAND POOL/RUSLAND HALL/,South Lakes Minor Catchments,11903,Rusland Pool,GB112073071310,11664,Rusland Hall,,,,,,,6587,23-08-1994,1994,SD3430088600,334300,488600,50.00,1.70,85,1.70,85,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,258774,111,Brown / sea trout,Salmo trutta,1+,5,,,,,,5,,,,,Completed,No,No,25-11-2003 18:32:43
Environment Agency,England,North West South,North West,South,Greater Manchester Merseyside and Cheshire,MERSEY/IRWELL/CROAL/RIVER TONGE/EAGLEY BROOK/EA01/,Mersey,6469,Eagley Brook,GB112069064570,6470,EA01,12,17,211.00,8.17,5.503,87.641,78130,29-09-2003,2003,SD6773315789,367733,415789,47.40,3.37,160,3.37,160,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,254622,111,Brown / sea trout,Salmo trutta,Age?,0,0,0,,,,0,0,0,0,0,Completed,No,No,29-10-2003 16:57:36
Environment Agency,England,North East North East,Yorkshire and North East,North East,Northumbria,"RIVER TEES/SAP/BT ANNUAL, DEEPDALE BECK - BARNARD CASTLE/",River Tees,3439,River Tees,GB103025072170,3446,"SAP/BT Annual, Deepdale Beck - Barnard Castle",37,754,144.00,35.34,19.530,108.012,77227,30-09-2003,2003,NZ0440016600,404400,516600,74.00,4.80,355,4.80,355,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,250511,111,Brown / sea trout,Salmo trutta,1+,11,4,4,,,,19,21,3,1,0,Completed,No,No,03-10-2003 10:57:26
Environment Agency,England,South West Devon and Cornwall (Cornwall),South West,Devon and Cornwall,Devon and Cornwall,FOWEY/WARLEGGAN/MAIN WARLEGGAN/WARLEGGAN GAUGING STATION/,Fowey,8842,Main Warleggan,GB108048007630,8429,Warleggan Gauging Station,13,13,77.00,24.67,10.001,24.535,77483,08-09-2003,2003,SX1596267423,215962,67423,61.20,5.40,330,5.40,330,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,252146,111,Brown / sea trout,Salmo trutta,0+,19,12,1,,,,32,33,2,1,0,Completed,No,No,15-10-2003 10:16:43
Environment Agency,England,North East North East,Yorkshire and North East,North East,Northumbria,RIVER WEAR/WASKERLEY BECK/WASKERLEY BECK AT BISHOP OAK/,River Wear,56043,Waskerley Beck,GB103024077520,10837,Waskerley Beck at Bishop Oak,36,52,174.00,30.71,11.586,89.439,77649,28-09-2003,2003,NZ0660039400,406600,539400,30.00,8.00,240,8.00,240,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,252717,118,Atlantic salmon,Salmo salar,0+,1,,,,,,1,,,,,Completed,No,No,17-10-2003 14:26:39
Environment Agency,England,North East Yorkshire,Yorkshire and North East,Yorkshire,Yorkshire,RIVER CALDER CATCHMENT/RIVER CALDER TRIBS/ALCOMDEN WATER/ALCOMDEN WATER (DROUGHT SITE 2)/,River Calder catchment,11953,Alcomden Water,GB104027062850,11954,Alcomden Water (Drought Site 2),28,59,257.00,10.51,5.816,170.821,78802,12-09-2003,2003,SD9560032100,395600,432100,50.00,3.10,155,3.10,155,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,259942,111,Brown / sea trout,Salmo trutta,0+,0,0,0,,,,0,0,0,0,0,Completed,No,No,08-12-2003 15:41:12
Environment Agency,England,North East North East,Yorkshire and North East,North East,Northumbria,RIVER COQUET/RIVER COQUET AT SHARPERTON/,River Coquet,10695,River Coquet,GB103022076690,25255,River Coquet at Sharperton,279,280,122.00,181.71,28.044,58.371,104350,25-08-2006,2006,NT9550003500,395500,603500,30.00,15.00,450,4.00,120,ELECTRIC FISHING,SINGLE CATCH SAMPLE (PART WIDTH),1,384737,111,Brown / sea trout,Salmo trutta,1+,2,,,,,,2,,,,,Completed,No,No,05-03-2007 10:33:31
Environment Agency,England,Anglian Northern (Kettering),Anglian,Northern,Lincolnshire and Northamptonshire,WELLAND CATCHMENT/ABOVE TINWELL/D/S DUDDINGTON ROAD BRIDGE/,Welland Catchment,7656,Above Tinwell,GB105031050580,6210,D/S Duddington Road Bridge,99,120,32.00,447.96,56.061,72.352,101162,10-05-2006,2006,SK9847000940,498470,300940,170.00,12.00,2040,12.00,2040,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2,369228,111,Brown / sea trout,Salmo trutta,0+,0,0,,,,,0,0,0,0,0,Completed,No,No,08-09-2006 09:08:18
Environment Agency,England,South West Devon and Cornwall (Cornwall),South West,Devon and Cornwall,Devon and Cornwall,COASTAL STREAMS/GANNEL TO MENALHYL/PORTH/MAIN PORTH/RIALTON BRIDGE/,Coastal Streams,16034,Main Porth,GB208049000000,16037,Rialton Bridge,14,17,12.00,28.60,1.769,3.144,101517,15-09-2006,2006,SW8460062400,184600,62400,65.90,3.20,211,3.20,211,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,371304,118,Atlantic salmon,Salmo salar,Age?,0,0,0,,,,0,0,0,0,0,Completed,No,No,29-09-2006 09:30:42
Environment Agency,England,North West South,North West,South,Greater Manchester Merseyside and Cheshire,MERSEY/IRWELL/OGDEN BROOK/IWOG04/,Mersey,6398,Ogden Brook,GB112069064650,21141,IWOG04,13,18,181.00,16.32,4.983,96.952,100125,05-06-2006,2006,SD7782421462,377824,421462,67.10,4.98,334,4.98,334,ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,363153,111,Brown / sea trout,Salmo trutta,1+,7,,,,,,7,,,,,Completed,No,No,17-07-2006 11:09:33
Environment Agency,England,South West Devon and Cornwall (Cornwall),South West,Devon and Cornwall,Devon and Cornwall,CAMEL/DE LANK/MAIN DE LANK/KEYBRIDGE/,Camel,16021,Main De Lank,GB108049007030,8260,Keybridge,22,46,65.00,35.74,14.126,28.415,100175,13-07-2006,2006,SX0860073750,208600,73750,62.30,5.50,343,5.50,343,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,363422,118,Atlantic salmon,Salmo salar,0+,31,6,9,,,,46,49,3,1,0,Completed,No,No,19-07-2006 12:16:26
Environment Agency,England,South West Devon and Cornwall (Cornwall),South West,Devon and Cornwall,Devon and Cornwall,CAMEL/DE LANK/MAIN DE LANK/KEYBRIDGE/,Camel,16021,Main De Lank,GB108049007030,8260,Keybridge,22,46,65.00,35.74,14.126,28.415,100175,13-07-2006,2006,SX0860073750,208600,73750,62.30,5.50,343,5.50,343,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,363422,118,Atlantic salmon,Salmo salar,1+,4,6,3,,,,13,17,7,0,0,Completed,No,No,19-07-2006 12:16:26
Environment Agency,England,South West Devon and Cornwall (Cornwall),South West,Devon and Cornwall,Devon and Cornwall,CAMEL/ALLEN/MAIN ALLEN/TREHANNICK/,Camel,7319,Main Allen,GB108049007050,7328,Trehannick,5,8,63.00,19.66,8.334,22.166,100320,25-07-2006,2006,SX0663079100,206630,79100,64.00,3.90,250,3.90,250,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,364207,111,Brown / sea trout,Salmo trutta,Age?,0,0,0,,,,0,0,0,0,0,Completed,No,No,27-07-2006 15:13:35
Environment Agency,England,South West Devon and Cornwall (Cornwall),South West,Devon and Cornwall,Devon and Cornwall,CAMEL/ALLEN/MAIN ALLEN/TREHANNICK/,Camel,7319,Main Allen,GB108049007050,7328,Trehannick,5,8,63.00,19.66,8.334,22.166,100320,25-07-2006,2006,SX0663079100,206630,79100,64.00,3.90,250,3.90,250,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,364208,118,Atlantic salmon,Salmo salar,1+,25,4,3,,,,32,32,1,1,0,Completed,No,No,27-07-2006 15:13:35
Environment Agency,England,South West Devon and Cornwall (Cornwall),South West,Devon and Cornwall,Devon and Cornwall,CAMEL/ALLEN/MAIN ALLEN/TREHANNICK/,Camel,7319,Main Allen,GB108049007050,7328,Trehannick,5,8,63.00,19.66,8.334,22.166,100320,25-07-2006,2006,SX0663079100,206630,79100,64.00,3.90,250,3.90,250,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,364208,118,Atlantic salmon,Salmo salar,>1+,1,0,0,,,,1,1,0,1,0,Completed,No,No,27-07-2006 15:13:35
Environment Agency,England,South West Devon and Cornwall (Cornwall),South West,Devon and Cornwall,Devon and Cornwall,CAMEL/ALLEN/MAIN ALLEN/TREHANNICK/,Camel,7319,Main Allen,GB108049007050,7328,Trehannick,5,8,63.00,19.66,8.334,22.166,100320,25-07-2006,2006,SX0663079100,206630,79100,64.00,3.90,250,3.90,250,ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,364208,118,Atlantic salmon,Salmo salar,Age?,0,0,0,,,,0,0,0,0,0,Completed,No,No,27-07-2006 15:13:35
Environment Agency,England,North East Yorkshire,Yorkshire and North East,Yorkshire,Yorkshire,RIVER URE/KILGRAM LOWER SITE/,River Ure,3800,River Ure,GB104027069461,3813,Kilgram Lower Site,775,777,90.00,516.48,57.819,171.604,100742,20-07-2006,2006,SE1930086000,419300,486000,56.00,30.00,1680,30.00,1680,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,367040,118,Atlantic salmon,Salmo salar,Age?,30,23,14,,,,67,91,17,0,0,Completed,No,No,22-08-2006 09:41:44
Environment Agency,England,Midlands West,Midlands,West,Shropshire Herefordshire Worcestershire and Gloucestershire,RIVER SEVERN/SEVERN - DOWNSTREAM CONFL AVON/SEVERN - DOWNSTREAM CONF AVON (TRIBUTARIES)/RIVER FROME/U/S EBLEY MILL/,River Severn,3400,River Frome,GB209054032450,3493,U/S Ebley Mill,52,53,31.00,197.85,26.232,38.312,101011,30-08-2006,2006,SO8315204681,383152,204681,100.00,8.00,800,8.00,800,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,2,368422,111,Brown / sea trout,Salmo trutta,Age?,24,3,,,,,27,27,1,1,0,Completed,No,No,01-09-2006 09:39:23
Environment Agency,England,South West Devon and Cornwall (Cornwall),South West,Devon and Cornwall,Devon and Cornwall,FOWEY/ST NEOT/U/S COLLIFORD FALLS/,Fowey,8416,St Neot,GB108048007640,8417,u/s Colliford Falls,6,7,228.00,13.35,6.513,33.433,102243,12-10-2006,2006,SX1810070700,218100,70700,56.20,3.60,202,3.60,202,PDC ELECTRIC FISHING,CATCH DEPLETION SAMPLE,3,375052,111,Brown / sea trout,Salmo trutta,Age?,6,0,0,,,,6,6,0,1,0,Completed,No,No,30-10-2006 15:48:33
Environment Agency,England,North West North (North),North West,North,Cumbria and Lancashire,"BORDER ESK/RIVER LYNE/BLACK LYNE/BAILEY WATER/2227.00 BAILEY MILL, BAILEY WATER/",Border Esk,21814,Bailey Water,GB102077074280,21815,"2227.00 Bailey Mill, Bailey Water",18,46,122.00,24.84,8.693,37.613,101148,19-07-2006,2006,NY5157378438,351573,578438,45.00,4.20,189,4.20,189,DC ELECTRIC FISHING,SINGLE CATCH SAMPLE,1,369142,111,Brown / sea trout,Salmo trutta,1+,7,,,,,,7,,,,,Completed,No,No,07-09-2006 11:53:32
